Code;Libellé;Médiane du niveau de vie 2021;Taux d'activité par tranche d'âge 2021;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Population municipale 2021;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2021;École maternelle, primaire, élémentaire (en nombre) 2023;Médecin généraliste (en nombre) 2023
81235;Saint-Affrique-les-Montagnes;23890;79.4;1.9;742;5.2;1;0
81236;Saint-Agnan;24940;87.1;2.4;285;13.1;1;0
81237;Saint-Amancet;22440;69;0;181;5.3;0;0
81238;Saint-Amans-Soult;20420;73;0.8;1501;3.2;2;1
81239;Saint-Amans-Valtoret;21520;76.9;0.8;861;2.4;0;0
81240;Saint-André;0;83;3.2;101;2.3;0;0
81242;Saint-Avit;21680;83.5;0.7;273;3.3;1;0
81243;Saint-Beauzile;22750;75.3;3.4;130;15.1;0;0
81244;Saint-Benoît-de-Carmaux;18710;67.6;2;2059;2.4;2;0
81245;Saint-Christophe;16400;73.3;4.7;125;7.5;0;0
81246;Sainte-Cécile-du-Cayrou;19820;75;3.8;115;7.6;0;0
81247;Saint-Cirgue;16990;78.7;1.1;213;7.3;0;0
81248;Saint-Gauzens;22650;78.1;1.3;906;6.9;0;0
81249;Sainte-Gemme;21050;80.7;1.3;872;4.3;1;0
81250;Saint-Genest-de-Contest;22710;74.3;0.9;280;9.7;0;0
81251;Saint-Germain-des-Prés;22110;76.5;1.2;924;5.4;1;0
81252;Saint-Germier;25050;82;1.3;157;6.5;0;0
81253;Saint-Grégoire;22910;81.2;0.9;463;5.8;1;0
81254;Saint-Jean-de-Marcel;21300;76.2;0.7;382;2.1;1;0
81255;Saint-Jean-de-Rives;28420;85;4.8;519;15.2;1;0
81256;Saint-Jean-de-Vals;0;87;0;81;12.1;0;0
81257;Saint-Juéry;20770;74.8;2.2;6600;3.9;6;8
81258;Saint-Julien-du-Puy;21690;80.5;1.5;445;6.8;1;0
81259;Saint-Julien-Gaulène;22010;81.4;0;225;2.3;0;0
81261;Saint-Lieux-lès-Lavaur;25800;83.1;6.3;1195;15.8;1;0
81262;Saint-Marcel-Campes;22450;73.5;5.2;220;8.8;0;0
81263;Saint-Martin-Laguépie;18880;63.2;1.6;392;7.7;0;0
81264;Saint-Michel-Labadié;0;78.8;0;88;5.6;0;0
81265;Saint-Michel-de-Vax;0;72.7;3.6;80;8.2;0;0
81266;Saint-Paul-Cap-de-Joux;21630;73.2;5.8;1063;5;1;2
81267;Saint-Pierre-de-Trivisy;19040;73.6;1.4;616;4.7;1;2
81268;Saint-Salvi-de-Carcavès;0;75.6;0;71;1.6;0;0
81269;Saint-Salvy-de-la-Balme;21050;77.7;0;518;2.6;1;0
81270;Saint-Sernin-lès-Lavaur;23410;79.7;1.2;167;7.6;0;0
81271;Saint-Sulpice-la-Pointe;24520;77.5;12;9576;10.9;4;11
81272;Saint-Urcisse;18250;79.1;0;221;6.6;0;0
81273;Saïx;23070;77.2;1;3680;6.2;3;2
81274;Saliès;25070;73.4;1.5;825;9;1;0
81275;Salles;19630;81;4.3;195;7.7;1;0
81276;Salvagnac;20360;74.3;1.8;1238;6.7;1;2
81277;Saussenac;21790;78.7;0.8;622;4.3;1;0
81278;Sauveterre;20560;82.7;0;178;2.6;0;0
81279;La Sauzière-Saint-Jean;19450;79.4;0.9;258;5.3;0;2
81280;Le Ségur;19960;69.6;3.1;261;6.1;1;0
81281;Sémalens;22270;75.8;1.2;2009;4.3;1;3
81282;Senaux;0;57.1;0;36;9.1;0;0
81283;Senouillac;22670;78.2;2.6;1124;10.3;1;0
81284;Le Sequestre;22450;79;2.5;1988;7.1;1;5
81285;Sérénac;21060;63.4;1.8;495;2.9;1;0
81286;Serviès;21860;77.3;1.3;594;4.4;1;0
81287;Sieurac;21950;82.3;1.7;270;6.6;0;0
81288;Sorèze;21250;76.2;2.1;2963;5.4;1;3
81289;Soual;21550;77.6;1.9;2638;5.2;1;4
81290;Souel;21160;82.8;0;169;5.3;0;0
81291;Taïx;22280;80;2.3;522;6.3;0;0
81292;Tanus;20590;76.5;0.5;535;3.8;1;1
81293;Tauriac;22670;82.5;2.1;379;4.8;0;0
81294;Técou;24150;80.5;1.7;1067;9.7;1;0
81295;Teillet;19600;75.3;0;445;4.8;1;1
81297;Terssac;25470;80.7;1.1;1210;8.4;1;1
81298;Teulat;25870;78.5;3.3;477;19.3;1;0
81299;Teyssode;23340;82.1;1.2;381;13.3;1;0
81300;Tonnac;20670;66.6;6.9;96;13.7;0;0
81302;Tréban;0;80.5;3.4;57;2.2;0;0
81303;Trébas;19950;70.8;3.5;406;5.6;1;1
81304;Trévien;20380;81.4;1.2;195;8.9;0;0
81305;Vabre;18560;71.7;0.8;722;6.2;1;2
81306;Valderiès;22000;76.4;0.6;827;3;1;0
81307;Valdurenque;21800;76.6;0.3;874;2.7;1;0
81308;Valence-d'Albigeois;20910;71.9;1.6;1285;3;1;1
81309;Vaour;16800;79;3.3;328;9.3;1;0
81310;Veilhes;27950;84.7;1.5;151;15.6;1;0
81311;Vénès;22420;79.6;1.6;730;5.5;1;0
81312;Verdalle;21050;75.7;2;1023;5.3;2;5
81313;Le Verdier;21350;71.3;5.8;227;13.4;1;0
81314;Viane;19960;72.5;0;533;4.5;1;0
81315;Vielmur-sur-Agout;22920;75.8;2.4;1378;5.7;1;1
81316;Vieux;20590;85.8;2.1;228;15.4;0;0
81317;Villefranche-d'Albigeois;22070;75.4;1.2;1239;6.1;2;2
81318;Villeneuve-lès-Lavaur;22860;85.7;1.5;138;6.1;0;0
81319;Villeneuve-sur-Vère;23660;77.7;1;529;7.4;1;0
81320;Vindrac-Alayrac;20790;71.4;1.7;151;5.9;0;0
81321;Le Vintrou;0;69.8;0;91;6.6;0;0
81322;Virac;20090;80.4;0;251;4.4;1;0
81323;Viterbe;24160;79.7;1.3;358;5.7;1;0
81324;Viviers-lès-Lavaur;25780;81.9;0.8;252;18.4;1;0
81325;Viviers-lès-Montagnes;23600;79.7;1.3;1984;7.6;1;1
81326;Sainte-Croix;25110;79.6;2.7;411;8.1;1;0
